trade_date,session_label,action,code,name,quantity,price,amount,fee,net_amount,position_ref,note,d3_watch
2026-05-28,0528D3,sell,600863,华能蒙电,600,6.970,4182.00,7.13,4174.87,0527D3,0528D3卖出｜0527D3买入成本6.170｜全部清仓｜毛利480.00,yes
2026-05-28,0528D3,sell,603303,得邦照明,100,25.680,2568.00,6.31,2561.69,0527D3,0528D3卖出｜0527D3买入成本25.440｜第1笔｜毛利24.00,yes
2026-05-28,0528D3,sell,603303,得邦照明,100,25.550,2555.00,6.30,2548.70,0527D3,0528D3卖出｜0527D3买入成本25.440｜第2笔｜毛利11.00,yes
2026-05-28,0528D3,buy,002181,粤传媒,300,15.190,4557.00,5.05,-4562.05,0528D3,0528D3买入｜第1笔,yes
2026-05-28,0528D3,buy,002181,粤传媒,200,15.040,3008.00,5.03,-3013.03,0528D3,0528D3买入｜第2笔,yes
2026-05-28,0528D3,buy,002181,粤传媒,200,15.000,3000.00,5.03,-3005.03,0528D3,0528D3买入｜第3笔,yes
2026-05-28,0528D3,buy,003004,声迅股份,100,55.150,5515.00,5.06,-5520.06,0528D3,0528D3买入,yes
2026-05-28,0528D3,buy,603685,晨丰科技,100,36.120,3612.00,5.04,-3617.04,0528D3,0528D3买入,yes
2026-05-28,0528D3,buy,600719,大连热电,300,10.150,3045.00,5.03,-3050.03,0528D3,0528D3买入,no
2026-05-29,0529D3,sell,002181,粤传媒,300,15.730,4719.00,7.36,4711.64,0528D3,0529D3卖出｜0528D3买入均价15.093｜第1笔｜毛利191.10,yes
2026-05-29,0529D3,sell,002181,粤传媒,200,15.890,3178.00,6.59,3171.41,0528D3,0529D3卖出｜0528D3买入均价15.093｜第2笔｜毛利159.40,yes
2026-05-29,0529D3,sell,002181,粤传媒,200,15.720,3144.00,6.57,3137.43,0528D3,0529D3卖出｜0528D3买入均价15.093｜全部清仓｜毛利125.40,yes
2026-05-29,0529D3,sell,003004,声迅股份,100,59.270,5927.00,7.96,5919.04,0528D3,0529D3卖出｜0528D3买入成本55.150｜全部清仓｜毛利412.00,yes
2026-05-29,0529D3,sell,603685,晨丰科技,100,34.520,3452.00,6.76,3445.24,0528D3,0529D3卖出｜0528D3买入成本36.120｜全部清仓｜毛利-160.00,yes
2026-05-29,0529D3,sell,600719,大连热电,100,9.730,973.00,5.50,967.50,0528D3,0529D3卖出｜0528D3买入成本10.150｜第1笔｜毛利-42.00,no
